id,shot,window_start,window_end,elm_start,elm_end
84771_1,84771,49.58,50.49,49.93,50.13
84771_2,84771,50.99,51.64,51.13,51.25
84772_1,84772,49.58,50.49,50.01,50.18
84772_2,84772,51.19,52.02,51.75,51.84
84773_1,84773,49.49,50.50,50.02,50.24
84773_2,84773,51.15,52.10,51.25,51.45
86688_1,86688,49.56,50.18,49.72,49.82
86688_2,86688,50.99,51.87,51.71,51.82
86689_1,86689,49.49,50.49,50.09,50.21
86689_2,86689,51.14,52.08,51.84,51.96
86690_1,86690,49.68,50.49,50.04,50.22
86690_2,86690,51.45,52.17,51.83,52.03
86534,86534,46.96,47.96,47.10,47.19
86538,86538,47.00,48.00,47.08,47.24
86582,86582,47.00,49.00,48.01,48.12
86584,86584,47.00,49.00,48.01,48.15
86586,86586,47.00,49.00,47.90,48.10
86587,86587,47.00,49.00,48.01,48.10
92432,92432,49.00,49.50,49.40,49.50
92436,92436,50.50,51.50,51.30,51.45
82215,82215,54.45,55.45,55.28,55.48
85185,85185,50.54,51.54,51.01,51.17
89085,89085,54.50,55.50,54.70,54.82
89088,89088,56.00,57.00,56.09,56.22
89340,89340,55.20,56.20,55.63,55.86
89341,89341,55.50,56.50,55.98,56.10
